id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23688182,Wonderful centrally located (Special summer price),55520214,Christine,,Central & Western,22.28322,114.14896,Entire home/apt,853,28,2,2019-01-01,0.27,2,179
23690283,3分鐘太子站90后LOVE•PLUS獨立房間/安全舒適/鄰近城大理大/小區安靜/配備齊備/美食購物點,159904054,Lee,,Sham Shui Po,22.3278,114.16347,Private room,227,2,65,2019-06-20,4.29,4,8
23691717,"703 邻近香港会议展览中心,1分钟湾仔地铁口, 安全+超私隐度单人太空舱+共享空間",99505769,Cc,,Wan Chai,22.27516,114.17245,Private room,117,30,5,2018-05-01,0.33,31,320
23692228,有窗舒適旺角雙人房!鄰近旺角地鐵站 Double Rm with window @MongKok 6,177167703,Mani,,Yau Tsim Mong,22.31962,114.17147,Private room,266,1,46,2019-06-23,2.88,10,89
23692276,有窗舒適旺角雙人房!鄰近旺角地鐵站 Double Rm with window @MongKok 7,177167703,Mani,,Yau Tsim Mong,22.31848,114.17231,Private room,266,1,25,2019-05-12,1.57,10,88
23692321,有窗舒適旺角雙人房!鄰近旺角地鐵站 Double Rm with window @MongKok 8,177167703,Mani,,Yau Tsim Mong,22.3201,114.17165,Private room,266,1,48,2019-06-16,3.02,10,74
23702892,C8,149784855,霖华,,Yau Tsim Mong,22.29664,114.17254,Private room,344,1,2,2019-04-07,0.31,9,18
23706532,CENTRAL... Room - Good for 2 persons - Mid Levels,97240131,Jov,,Central & Western,22.28245,114.15267,Private room,250,30,0,,,216,364
23706786,"Small  Room in CENTRAL,walk to Lan Kwai Fong (23c)",97240131,Jov,,Central & Western,22.28255,114.15215,Private room,180,30,0,,,216,362
23707046,Private Room in Convenient Apartment in CityCenter,11039049,Mimi,,Central & Western,22.28877,114.14549,Private room,352,2,23,2019-05-17,1.44,3,365
23711451,"[B]Modern NEW 2BDR APT, 1min to MTR 5min to TST",28949559,Miranda,,Yau Tsim Mong,22.30459,114.17034,Entire home/apt,798,2,77,2019-06-23,4.73,6,65
23715969,Family Suite for 3-4 ppl in Hunghom Welcome >3mth,59581470,Cherie,,Yau Tsim Mong,22.30276,114.18421,Entire home/apt,1103,2,27,2019-06-09,1.73,2,178
23717194,Luxury Suite Nam Cheong MTR 南昌站 上蓋  近高铁西九龍站 ICC 月租,172725801,Maylen,,Yau Tsim Mong,22.3196,114.15969,Entire home/apt,501,28,12,2019-05-27,0.75,3,193
23718468,Cozy studio in the heart of Sai Ying Pun,3460859,Dovile,,Central & Western,22.28501,114.14299,Entire home/apt,548,5,8,2019-06-28,0.51,1,0
23720900,Great 1 bed apartment in the heart of Central HK!,17225490,Mats,,Central & Western,22.28203,114.1515,Entire home/apt,696,3,10,2019-03-25,0.64,1,0
23721499,"New modern flat, 1 bedroom 2 min MTR",25634224,Kevin,,Central & Western,22.27323,114.16072,Entire home/apt,1001,4,1,2018-04-02,0.06,1,0
23721520,Great loft-style apartment in Causeway Bay,2831884,Jarijn,,Wan Chai,22.27922,114.18428,Entire home/apt,1001,4,3,2019-02-15,0.36,1,0
23734435,Lux Apartment w/ two private balcony Wan Chai,2489501,Voula,,Wan Chai,22.27425,114.17232,Shared room,876,3,4,2018-09-10,0.26,1,0
23736072,"Cozy studio in Paterson Street, Causeway Bay",177978156,Kit,,Wan Chai,22.2805,114.18586,Entire home/apt,430,7,3,2018-05-28,0.21,1,0
23737030,"Yau Tsim Mong Newly 3 bedroom Apt,11 ppl, near MTR",79611488,Renita,,Yau Tsim Mong,22.31343,114.17112,Entire home/apt,1299,1,98,2019-07-10,6.14,6,150
23737305,温馨舒适方便的民宿,177983715,Bernard,,Wan Chai,22.27846,114.17886,Entire home/apt,1299,1,43,2019-07-04,2.71,1,276
23739516,地鉄奢華2米大床/2房/200cm big bed /2rooms/5人集購物美食優勢 景點咫尺即達,129082030,茱迪,,Yau Tsim Mong,22.30186,114.17552,Entire home/apt,1197,2,17,2019-06-30,4.29,1,88
23746350,"Affordable and Accommodating @ Jordan, Kowloon, HK",56048706,Badat Zel,,Yau Tsim Mong,22.30573,114.17003,Private room,501,5,1,2018-04-23,0.07,1,0
23750832,Homestay family room female only,150577122,Cherry,,Sha Tin,22.38504,114.20591,Private room,243,28,1,2019-02-28,0.22,3,288
23753728,"*BEST IN K-TOWN, UNBLOCKED SEA VIEW PAD*",178157412,Alex,,Central & Western,22.28245,114.12787,Entire home/apt,1001,4,0,,,1,0
23754854,溫馨舒適標準雙人房,65326707,Jingwen,,Yau Tsim Mong,22.31716,114.16999,Private room,297,1,14,2019-05-26,0.87,16,90
23755159,❤️ Spacious 2 Bdrm - Perfect Location - Mong Kok❤️,142724646,Breezy,,Yau Tsim Mong,22.32181,114.16991,Entire home/apt,798,5,13,2019-06-30,0.84,2,253
23757417,New Cozy Studio in Tsim Sha Tsui,176697943,Shirley,,Yau Tsim Mong,22.30124,114.17588,Entire home/apt,501,1,117,2019-06-30,7.41,1,162
23773805,Single Room in modern building,114952940,Sébastien,,Yau Tsim Mong,22.30214,114.18539,Private room,399,7,2,2018-03-22,0.12,1,0
23773839,3-mins walk to full set of facilities at Shatin,59239167,L,,Sha Tin,22.38043,114.2032,Shared room,501,1,9,2019-03-17,0.60,1,161
23775446,OceanView Large Ensuite Room with Private Balcony,169948725,Tabatha,,Islands,22.20661,114.12585,Private room,587,2,49,2019-07-08,3.14,4,341
23783687,有窗舒適雙人房!鄰近旺角地鐵站 Double Rm with window @MongKok 5,177167703,Mani,,Kowloon City,22.32019,114.17377,Private room,258,1,42,2019-06-09,2.64,10,89
23790044,[C]Lux 2BR Suite Brand New TST+Jordan+Austin MTR高铁,28949559,Miranda,,Yau Tsim Mong,22.30371,114.16876,Entire home/apt,798,2,72,2019-06-05,4.68,6,51
23790665,香港红磡芜湖街 短租一周 拎包入住,178522230,海峰,,Kowloon City,22.3081,114.18475,Private room,211,3,1,2018-03-24,0.06,1,0
23794109,Budget Room Clean for Single in Wan Chai (E),166186869,Carmen,,Wan Chai,22.27704,114.17456,Private room,149,3,7,2019-02-23,0.46,5,10
23795039,1 Bedroom Apartment in Soho,178564613,Helen,,Central & Western,22.28029,114.15245,Entire home/apt,798,4,8,2019-02-08,0.65,1,47
23795735,"New&Full Harbor View Studio,5mins from Tin Hau MTR",161198920,Mr Toad,,Wan Chai,22.28068,114.19142,Entire home/apt,3818,1,20,2019-06-08,1.26,2,172
23800632,Mong Kok Luxury Studio *3C,14861546,Tane Residence,,Yau Tsim Mong,22.31886,114.17113,Entire home/apt,383,60,0,,,100,277
23810920,Lyton Inn 1,2772188,Lyton Inn,,Yau Tsim Mong,22.29666,114.17406,Private room,516,1,26,2019-06-08,1.67,5,351
23811628,Lyton Inn 2,2772188,Lyton Inn,,Yau Tsim Mong,22.2967,114.17558,Private room,618,1,23,2019-04-14,1.49,5,346
23812372,홍콩 (디스 커버리 베이 )  HongKong ( Discovery Bay),177977909,형모,,Islands,22.29583,114.02346,Entire home/apt,501,1,3,2018-03-20,0.19,1,0
23812780,Lyton Inn 3,2772188,Lyton Inn,,Yau Tsim Mong,22.29753,114.17566,Private room,649,1,33,2019-06-10,2.14,5,349
23812821,Lyton Inn 5,2772188,Lyton Inn,,Yau Tsim Mong,22.29741,114.17535,Private room,501,1,16,2019-04-15,1.01,5,332
23812851,Lyton Inn 6,2772188,Lyton Inn,,Yau Tsim Mong,22.29671,114.17369,Private room,618,1,8,2019-03-03,0.52,5,354
23813696,STUDIO / Work Desk / Kitchen & Luxury Bathroom,8659457,Kay,,Central & Western,22.28478,114.15067,Entire home/apt,649,2,47,2019-06-10,2.94,8,140
23813814,"*Bright, cosy, new 2 min from MTR apt in Wan Chai*",178743845,Paul,,Wan Chai,22.27532,114.17284,Entire home/apt,602,4,20,2019-04-26,1.28,2,1
23814389,#5  旺角地铁站舒适双人间连独立卫生间/購物方便/窮遊一族/吃買玩/旺角商圈,13299856,Kanga,,Yau Tsim Mong,22.32204,114.17123,Private room,352,1,52,2019-05-22,3.23,6,323
23820516,B Modern cozy studio 1 min MTR  邻近西九高铁型格独立卫浴大床公寓,67157758,Larin,,Yau Tsim Mong,22.30847,114.16729,Entire home/apt,469,1,67,2019-07-12,4.28,11,302
23820520,"Big and cozy apartment,Taikoo Shing",177141005,Xin,,Eastern,22.28539,114.21624,Entire home/apt,696,2,3,2018-04-14,0.19,1,0
23821210,❤️1min TST MTR❤️Premier Double Bed Rm@尖沙咀高級大床房,175194198,Mark,,Yau Tsim Mong,22.29779,114.17133,Private room,399,1,0,,,3,11
